p,min1,max1,min2,max2,name1,name2
0.010590459,7,7,20,20,AQI Data PM10,Weather Data temperature
0.01000391,24,27,20,21,AQI Data PM10,Weather Data temperature
0.01000391,29,51,20,21,AQI Data PM10,Weather Data temperature
0.010134254,55,55,20,21,AQI Data PM10,Weather Data temperature
0.010101668,57,57,20,21,AQI Data PM10,Weather Data temperature
0.01016684,59,59,20,21,AQI Data PM10,Weather Data temperature
0.01000391,9,61,20,20,AQI Data PM10,Weather Data temperature
0.010199426,63,63,20,21,AQI Data PM10,Weather Data temperature
0.010199426,67,67,30,41,AQI Data PM10,Weather Data temperature
0.010134254,71,71,28,41,AQI Data PM10,Weather Data temperature
0.01000391,73,73,28,42,AQI Data PM10,Weather Data temperature
0.010232013,75,75,28,42,AQI Data PM10,Weather Data temperature
0.01000391,65,77,20,21,AQI Data PM10,Weather Data temperature
0.010069082,79,83,20,21,AQI Data PM10,Weather Data temperature
0.010362357,85,85,20,21,AQI Data PM10,Weather Data temperature
0.010036496,87,87,20,21,AQI Data PM10,Weather Data temperature
0.01016684,87,87,27,42,AQI Data PM10,Weather Data temperature
0.010036496,89,89,20,21,AQI Data PM10,Weather Data temperature
0.01000391,91,91,20,21,AQI Data PM10,Weather Data temperature
0.01016684,93,93,20,21,AQI Data PM10,Weather Data temperature
0.010199426,93,93,27,42,AQI Data PM10,Weather Data temperature
0.010232013,95,95,20,21,AQI Data PM10,Weather Data temperature
0.01016684,95,95,27,42,AQI Data PM10,Weather Data temperature
0.010264599,97,97,27,42,AQI Data PM10,Weather Data temperature
0.01000391,99,99,27,43,AQI Data PM10,Weather Data temperature
0.010264599,97,105,20,21,AQI Data PM10,Weather Data temperature
0.010036496,103,105,27,43,AQI Data PM10,Weather Data temperature
0.010199426,107,111,20,21,AQI Data PM10,Weather Data temperature
0.010101668,113,113,20,21,AQI Data PM10,Weather Data temperature
0.010101668,115,115,20,21,AQI Data PM10,Weather Data temperature
0.01000391,107,125,27,43,AQI Data PM10,Weather Data temperature
0.010036496,127,129,27,43,AQI Data PM10,Weather Data temperature
0.01000391,101,133,27,42,AQI Data PM10,Weather Data temperature
0.01016684,133,133,27,43,AQI Data PM10,Weather Data temperature
0.010069082,133,135,28,43,AQI Data PM10,Weather Data temperature
0.01016684,135,135,27,43,AQI Data PM10,Weather Data temperature
0.010232013,137,137,27,42,AQI Data PM10,Weather Data temperature
0.010232013,139,139,27,42,AQI Data PM10,Weather Data temperature
0.010036496,141,141,27,42,AQI Data PM10,Weather Data temperature
0.01016684,143,143,27,42,AQI Data PM10,Weather Data temperature
0.010036496,145,145,27,42,AQI Data PM10,Weather Data temperature
0.010036496,147,149,27,42,AQI Data PM10,Weather Data temperature
0.01000391,151,159,27,42,AQI Data PM10,Weather Data temperature
0.010069082,161,161,27,42,AQI Data PM10,Weather Data temperature
0.01000391,77,167,28,42,AQI Data PM10,Weather Data temperature
0.010069082,169,169,28,42,AQI Data PM10,Weather Data temperature
0.01000391,63,171,20,20,AQI Data PM10,Weather Data temperature
0.01016684,173,173,28,42,AQI Data PM10,Weather Data temperature
0.010134254,175,175,28,42,AQI Data PM10,Weather Data temperature
0.01000391,177,179,28,42,AQI Data PM10,Weather Data temperature
0.010297185,181,181,28,42,AQI Data PM10,Weather Data temperature
0.01000391,73,195,29,41,AQI Data PM10,Weather Data temperature
0.01000391,75,195,29,42,AQI Data PM10,Weather Data temperature
0.01000391,63,203,31,41,AQI Data PM10,Weather Data temperature
0.01000391,69,203,30,41,AQI Data PM10,Weather Data temperature
0.010101668,205,205,30,41,AQI Data PM10,Weather Data temperature
0.010329771,209,209,30,41,AQI Data PM10,Weather Data temperature
0.01000391,69,219,30,40,AQI Data PM10,Weather Data temperature
