p,min1,max1,min2,max2,min3,max3,name1,name2,name3
0.016433785,4,17,12,23,1.6,1.6,TrafficSpeed High,Weather Data winddir,AQI Data SO2
0.015891554,4,17,12,23,1.3,1.3,TrafficSpeed High,Weather Data winddir,AQI Data SO2
0.011929093,4,16,12,23,0.7,0.7,TrafficSpeed High,Weather Data winddir,AQI Data SO2
0.011345151,23,43,12,23,1,1,TrafficSpeed Middle,Weather Data winddir,AQI Data SO2
0.011136601,28,41,12,23,0.4,0.4,TrafficSpeed Middle,Weather Data winddir,AQI Data SO2
0.01092805,15,44,12,23,2.2,2.2,TrafficSpeed Low,Weather Data winddir,AQI Data SO2
0.01084463,23,26,13,13,17,17,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.01084463,23,26,12,13,17,17,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.01084463,23,26,12,23,17,17,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010785975,5,17,12,23,35,36,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010785975,15,43,12,23,41,41,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010785975,4,18,12,23,81,81,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.01076121,15,45,12,23,1.9,1.9,TrafficSpeed Low,Weather Data winddir,AQI Data SO2
0.010719499,23,44,12,23,1.6,1.6,TrafficSpeed Middle,Weather Data winddir,AQI Data SO2
0.010719499,5,16,12,23,31,31,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010719499,10,13,12,23,119,119,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010677789,24,43,12,23,87,87,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010677789,8,13,12,23,117,117,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010677789,11,13,12,23,117,121,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010655631,4,18,8,93,8,9,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,18,8,66,8,9,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,18,93,93,8,9,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,18,24,66,8,9,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,18,66,66,8,9,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,8,93,6,11,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,8,66,6,11,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,93,93,6,11,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,24,66,6,11,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,66,66,6,11,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,15,44,8,93,13,13,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010655631,15,44,8,66,13,13,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010655631,15,44,93,93,13,13,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010655631,15,44,24,66,13,13,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010655631,15,44,66,66,13,13,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010655631,4,17,8,93,13,13,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,8,66,13,13,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,93,93,13,13,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,24,66,13,13,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010655631,4,17,66,66,13,13,TrafficSpeed High,Weather Data windspeed,AQI Data CO
